liveness,tempo,energy,analysis_url,speechiness,mode,instrumentalness,key,duration_ms,id,name,popularity,uri,acousticness,track_href,time_signature,loudness,valence,type,danceability
0.474,127.884,0.706,https://api.spotify.com/v1/audio-analysis/7yoBjKO6cCnK3zV8gr1k4e,0.0945,0,0.000572,6,242560,7yoBjKO6cCnK3zV8gr1k4e,Lydia,61,spotify:track:7yoBjKO6cCnK3zV8gr1k4e,0.00933,https://api.spotify.com/v1/tracks/7yoBjKO6cCnK3zV8gr1k4e,4,-4.652,0.512,audio_features,0.417
0.157,119.953,0.89,https://api.spotify.com/v1/audio-analysis/5yETxZBoH5AJywvFXCUCZe,0.0405,0,0,7,228421,5yETxZBoH5AJywvFXCUCZe,Why Are We So Broken (feat. blink-182),37,spotify:track:5yETxZBoH5AJywvFXCUCZe,0.00263,https://api.spotify.com/v1/tracks/5yETxZBoH5AJywvFXCUCZe,4,-5.016,0.382,audio_features,0.587
0.112,109.986,0.703,https://api.spotify.com/v1/audio-analysis/0NHj4V1HrSmMoCuW1MdP3V,0.0755,0,0,10,227080,0NHj4V1HrSmMoCuW1MdP3V,Cantare (feat. Soolking),46,spotify:track:0NHj4V1HrSmMoCuW1MdP3V,0.14,https://api.spotify.com/v1/tracks/0NHj4V1HrSmMoCuW1MdP3V,4,-5.839,0.784,audio_features,0.747
0.0901,146.999,0.824,https://api.spotify.com/v1/audio-analysis/1UotQ5kMAEiCJVisAVkxOh,0.0347,1,0,2,192046,1UotQ5kMAEiCJVisAVkxOh,In Betweenin',37,spotify:track:1UotQ5kMAEiCJVisAVkxOh,0.18,https://api.spotify.com/v1/tracks/1UotQ5kMAEiCJVisAVkxOh,4,-4.825,0.925,audio_features,0.705
0.152,127.001,0.919,https://api.spotify.com/v1/audio-analysis/2xrBweGrrKfLIUD5dceWiB,0.153,1,0.000139,0,215488,2xrBweGrrKfLIUD5dceWiB,Who We Are?,58,spotify:track:2xrBweGrrKfLIUD5dceWiB,0.116,https://api.spotify.com/v1/tracks/2xrBweGrrKfLIUD5dceWiB,4,-3.443,0.388,audio_features,0.479
0.29,102.95,0.741,https://api.spotify.com/v1/audio-analysis/0NTMtAO2BV4tnGvw9EgBVq,0.0484,0,2.04e-06,10,219306,0NTMtAO2BV4tnGvw9EgBVq,Bitch Better Have My Money,76,spotify:track:0NTMtAO2BV4tnGvw9EgBVq,0.0538,https://api.spotify.com/v1/tracks/0NTMtAO2BV4tnGvw9EgBVq,4,-4.97,0.364,audio_features,0.778
0.0383,118.997,0.764,https://api.spotify.com/v1/audio-analysis/2aFiaMXmWsM3Vj72F9ksBl,0.0518,0,0,4,219147,2aFiaMXmWsM3Vj72F9ksBl,Cake By The Ocean,32,spotify:track:2aFiaMXmWsM3Vj72F9ksBl,0.156,https://api.spotify.com/v1/tracks/2aFiaMXmWsM3Vj72F9ksBl,4,-5.445,0.912,audio_features,0.774
0.131,153.973,0.412,https://api.spotify.com/v1/audio-analysis/2sUcPXrCJDGZwrZFKBuJTz,0.0499,0,0.00058,5,279382,2sUcPXrCJDGZwrZFKBuJTz,Ma Nsamhek,22,spotify:track:2sUcPXrCJDGZwrZFKBuJTz,0.0942,https://api.spotify.com/v1/tracks/2sUcPXrCJDGZwrZFKBuJTz,4,-13.858,0.196,audio_features,0.527
0.123,89.958,0.652,https://api.spotify.com/v1/audio-analysis/3mV8a5DXtKP0XIGBwMzsXw,0.0675,1,0.497,7,166786,3mV8a5DXtKP0XIGBwMzsXw,Mosquiter,38,spotify:track:3mV8a5DXtKP0XIGBwMzsXw,0.00105,https://api.spotify.com/v1/tracks/3mV8a5DXtKP0XIGBwMzsXw,4,-11.839,0.577,audio_features,0.585
0.17,136.984,0.714,https://api.spotify.com/v1/audio-analysis/31ETL8gxaIFLhPWdtZ5god,0.0344,1,0,0,228221,31ETL8gxaIFLhPWdtZ5god,Friend of a Friend,35,spotify:track:31ETL8gxaIFLhPWdtZ5god,0.17,https://api.spotify.com/v1/tracks/31ETL8gxaIFLhPWdtZ5god,4,-5.603,0.437,audio_features,0.575
